PCT_PPL_NO_HLTH_INSURANCE,OPIOID_SCRIPTS_100,SUBSTANCE_ABUSE_FACILITIES,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE,HS_LESS_PERCENT,RISK
7.5,50.6,7,1508.041453,94.09883453,1528.33728,5,52947,15,13.5,0.029810265,medium
8.2,56.2,2,1951.946623,134.8617667,1983.887568,4,52610,13.1,8.9,0.031195656,medium
9.8,66.2,5,574.7894666,50.60438826,588.1566635,5.9,42301,22.3,14.7,0.055951267,medium
10.6,59.8,0,1690.759727,50.94567917,1728.968987,4.9,47185,21.2,15.8,0.041011272,medium
8.6,89.7,0,1732.253363,66.90081954,1789.596923,5.8,53234,19.2,13.4,0.042720952,medium
9.3,82.8,1,793.3799693,39.24245009,800.2047432,8,47824,19.9,13.4,0.054103395,medium
8.5,75.8,7,800.4782457,109.3549516,845.6782923,7.5,45661,21.5,15.7,0.044427272,medium
7.6,61.6,3,2525.882068,145.4243274,2567.431876,4.6,62445,16.6,12,0.054222499,medium
10,59.4,7,3896.402689,261.2939804,3910.371235,5.6,45273,23.4,15.1,0.056186423,medium
9.9,90.5,3,3268.193634,184.9432884,3455.723542,8.8,37625,36.1,27.2,0.068390217,medium
12.1,68.7,2,2186.280347,122.3787789,2206.125554,6.5,38738,32.4,21.7,0.080670768,medium
9.1,77.2,2,3503.249293,386.2457875,3520.630353,5,47924,21.9,15.5,0.046919207,medium
11.3,90.1,4,1527.962174,121.1189528,1630.447441,5.9,43840,25.4,16.8,0.070062656,medium
8.2,73,2,2262.203293,94.20318699,2271.490931,5.5,48129,22.3,12.7,0.031962743,medium
8.3,62.8,26,3834.315189,435.7063792,3815.495249,5.5,48973,24.4,17.6,0.042824031,medium
5.7,60,1,2385.106427,123.1552372,2413.842649,4.2,59604,12.1,9.4,0.041092797,medium
13,47.8,6,1286.53467,109.7111511,1321.676524,4,53605,16.2,11.9,0.063726751,medium
9.8,112.5,2,1509.958314,138.9532191,1522.309711,7.1,44671,26.4,17.9,0.070927899,medium
8.1,93.4,3,296.1631402,13.26103613,297.6365887,8.2,40148,31.1,20,0.038206519,medium
10.6,72.1,2,1787.137922,88.5818053,1813.712463,4.2,53760,17.5,12.2,0.040636903,medium
8.6,89.7,0,1883.360854,81.36501783,1909.68483,7.7,49453,20.4,13.7,0.042788427,medium
8.9,45.1,1,71.54508771,11.44721403,65.8214807,4.9,55466,17.9,11.2,0.052857511,medium
7.9,61.8,23,2751.585821,280.5292406,2818.211515,5,51434,21.5,14.4,0.038735182,medium
10.3,57,1,0,124.9178172,729.7830375,6,48160,21.1,12.8,0.054635108,medium
8.6,102.7,0,803.9354871,82.53957773,846.8560675,7,47802,19.2,13.7,0.037043762,medium
10.6,72.1,2,1353.738792,86.12693786,1353.738792,4.1,54782,16.7,11.1,0.040523828,medium
9.7,84.2,3,1229.56047,35.71337466,1255.070024,7.1,43519,25.4,18.6,0.078288819,medium
10.2,59.4,45,3088.586454,378.9439888,3309.238361,4,59214,22.5,16,0.045122119,medium
8.3,92,1,4378.881038,247.7746169,4391.116821,5.1,43529,27.7,18.2,0.062876633,medium
6.8,61.2,2,1154.10358,124.8168448,1139.632062,4.7,47805,17.3,13.6,0.033989978,medium
7.2,17.8,1,283.3448514,6.910850035,290.2557015,7.3,47714,17.8,15,0.075259157,medium
7,61.3,1,1180.655041,66.6897199,1190.535,6.5,56569,15,10.4,0.028948278,medium
8.4,63.2,1,1867.693514,71.47962831,1946.090525,3.9,60039,16,11.8,0.06843598,medium
