COUNTY,YEAR,County_ID,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,OVERDOSE_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE
HARRISON COUNTY,2014,34,464.037123,193.3488012,496.2619232,12.88992008,6.1,42582,25.6,16.9
HARRISON COUNTY,2015,34,636.7357547,84.46494705,662.7249691,25.98921448,6.3,44221,24.3,15.5
HARRISON COUNTY,2016,34,997.1136185,85.27945421,1010.233535,6.559958016,7.6,44274,23.9,16.8
HARRISON COUNTY,2017,34,0,124.9178172,729.7830375,32.8731098,6,48160,21.1,12.8
HENRY COUNTY,2014,35,1558.479214,61.61429452,1562.103585,7.248740531,6.5,53645,15,10.2
HENRY COUNTY,2015,35,1536.221332,101.9293775,1572.624681,21.84200946,5.6,56986,13.9,9.4
HENRY COUNTY,2016,35,1323.896142,113.6863723,1323.896142,18.33651166,5.3,57752,11.3,8.3
HENRY COUNTY,2017,35,1270.110076,99.39991901,1236.97677,11.04443545,5.2,57678,11.1,8.2
HIGHLAND COUNTY,2014,36,1824.25846,67.30724597,1870.67725,27.8512742,7.8,41611,27.6,19.3
HIGHLAND COUNTY,2015,36,1797.355187,90.79903148,1855.559695,20.95362265,6.4,41494,27.6,17.9
HIGHLAND COUNTY,2016,36,1690.501105,102.3136845,1757.935124,13.95186606,6.3,44729,28.4,19.8
HIGHLAND COUNTY,2017,36,1527.962174,121.1189528,1630.447441,30.2797382,5.9,43840,25.4,16.8
HOCKING COUNTY,2014,37,1415.898417,100.8871108,1443.729344,13.91546356,6.5,42374,26.1,17.5
HOCKING COUNTY,2015,37,1996.631343,122.8156362,2077.338761,10.52705453,5.6,43598,23.8,15.7
HOCKING COUNTY,2016,37,2036.07158,102.1558405,2117.091729,17.61307595,5.6,47799,22.4,14.5
HOCKING COUNTY,2017,37,2241.979126,154.6192501,2259.549496,28.11259093,5.4,48397,22.1,14.5
HOLMES COUNTY,2014,38,714.8240345,18.27026286,726.2429488,0,4,50069,18.5,12.4
HOLMES COUNTY,2015,38,446.6625647,38.74114081,471.7303617,0,3.4,53540,15.7,10.8
HOLMES COUNTY,2016,38,645.381984,18.24401368,675.0285063,9.122006842,3.6,58783,16.4,11.7
HOLMES COUNTY,2017,38,268.8723312,2.278579078,273.4294894,4.557158156,3.5,61593,13.6,9
HURON COUNTY,2014,39,793.3799693,39.24245009,800.2047432,29.0052892,8,47824,19.9,13.4
HURON COUNTY,2015,39,919.0672154,27.43484225,922.4965706,17.14677641,6.6,48838,20.7,13.1
HURON COUNTY,2016,39,1275.881557,23.97629772,1301.570448,27.40148311,6.5,51278,17.9,12.2
HURON COUNTY,2017,39,1053.675892,34.21025623,1072.491533,46.18384592,6.4,48244,23.8,14.8
JACKSON COUNTY,2014,40,2337.503814,112.9081477,2487.030821,24.41257247,8.8,41161,30.2,20
JACKSON COUNTY,2015,40,1824.324324,153.5626536,1882.678133,27.64127764,7.5,42828,29.2,20.4
JACKSON COUNTY,2016,40,1734.264014,172.1964269,1771.163248,21.52455337,7.9,45168,27.2,18.1
JACKSON COUNTY,2017,40,1509.958314,138.9532191,1522.309711,30.87849313,7.1,44671,26.4,17.9
JEFFERSON COUNTY,2014,41,296.1631402,13.26103613,297.6365887,30.94241763,8.2,40148,31.1,20
JEFFERSON COUNTY,2015,41,365.985568,62.23236379,368.9490139,23.70756716,7.4,43306,28.5,17.8
JEFFERSON COUNTY,2016,41,1939.020929,135.9406044,1927.070107,20.91393914,8.4,43558,24,16.3
JEFFERSON COUNTY,2017,41,1955.820752,109.9960823,1927.191634,42.19027815,7.3,43520,26.2,17.6
KNOX COUNTY,2014,42,1968.981573,111.4827202,1962.423765,13.11561414,5.3,46908,21.4,15.1
KNOX COUNTY,2015,42,2267.696394,116.4182531,2270.975782,11.47785594,4.6,50914,19.9,14.8
KNOX COUNTY,2016,42,1990.245825,93.60066998,1990.245825,13.13693614,4.6,53375,17.5,12.7
KNOX COUNTY,2017,42,1844.934179,135.3930476,1782.947001,24.46862307,4.5,52061,16.2,10.7
LAKE COUNTY,2014,43,814.7977361,123.1114572,822.193124,23.0562093,5.5,58697,13.4,8.9
LAKE COUNTY,2015,43,1258.058622,156.6048078,1272.849076,21.75066775,4.5,60782,12.6,8.3
LAKE COUNTY,2016,43,1194.566746,171.1501026,1211.115611,40.93666575,4.9,61946,12.5,8.6
LAKE COUNTY,2017,43,1170.725355,202.7173677,1060.467943,39.50167122,5.1,60521,12.4,8.7
LAWRENCE COUNTY,2014,44,2258.766941,139.7510481,2338.392538,13.0000975,6.7,41608,27.4,17.5
LAWRENCE COUNTY,2015,44,1723.685075,146.1028301,1782.782849,37.75691116,5.9,39698,30.1,21
LAWRENCE COUNTY,2016,44,1558.972331,164.7962295,1598.523426,44.49498195,6.5,42132,26.5,17.9
LAWRENCE COUNTY,2017,44,1547.137795,131.4235331,1585.400343,53.23484886,5.9,43108,26.9,19.5
LICKING COUNTY,2014,45,2434.144124,103.8819995,2497.889897,13.57548857,5.3,57308,20.6,13.5
LICKING COUNTY,2015,45,1546.198392,102.5719176,1593.088411,16.99763205,4.4,59119,17.4,12.6
LICKING COUNTY,2016,45,1332.612374,50.58345398,1373.893124,10.4655422,4.4,58902,17.1,11.7
LICKING COUNTY,2017,45,1965.221397,117.4641562,2071.745264,23.60799217,4.2,62658,12.4,8.9
LOGAN COUNTY,2014,46,2315.557999,96.75645959,2350.742166,8.796041781,5,50753,27.2,17
LOGAN COUNTY,2015,46,2096.496267,110.4581805,2142.888702,17.67330889,4.2,49690,17.3,10.9
LOGAN COUNTY,2016,46,1787.137922,88.5818053,1813.712463,31.00363185,4.2,53760,17.5,12.2
LOGAN COUNTY,2017,46,1353.738792,86.12693786,1353.738792,33.12574533,4.1,54782,16.7,11.1
LORAIN COUNTY,2014,47,1398.208638,111.6727594,1400.179333,23.31989976,6.4,52331,21.7,14.7
LORAIN COUNTY,2015,47,1132.932987,87.75319088,1137.844546,20.6285486,5.6,52779,20.9,13.5
LORAIN COUNTY,2016,47,1177.030778,131.1073352,1190.076284,47.61609685,6,54951,17.9,12.4
LORAIN COUNTY,2017,47,1539.226713,218.4499158,1472.261412,43.23487917,6.1,55443,20.1,13.5
LUCAS COUNTY,2014,48,1955.374749,743.9075741,1976.313688,26.46129633,6.4,42344,29.4,20.7
LUCAS COUNTY,2015,48,3460.451815,766.8623223,3476.135014,27.21496362,5.3,43136,28.9,19.5
LUCAS COUNTY,2016,48,3304.427392,817.7308258,3312.05246,36.27684082,5.2,45251,27.9,19.8
LUCAS COUNTY,2017,48,3620.140453,701.3384126,3379.091624,35.49612211,5.9,47562,25.6,17.9
MADISON COUNTY,2014,49,1702.969397,68.20972216,1741.621572,15.91560184,4.8,52996,17.1,12.6
MADISON COUNTY,2015,49,1661.076867,97.44379985,1715.464104,15.86294416,4,63736,14,9.3
MADISON COUNTY,2016,49,1867.693514,71.47962831,1946.090525,34.58691692,3.9,60039,16,11.8
MADISON COUNTY,2017,49,1459.8043,68.10906532,1496.129135,45.40604354,3.9,69937,13.1,9.6
MAHONING COUNTY,2014,50,3087.977582,274.2202932,3219.08916,20.56652199,6.7,41316,28.7,18.9
